Comp Depth [cm],Al, Si, P, S, Ar, K, Ca, Ti, Mn, Fe, Ni, Rb,  Zr, Ca_Ti, Si_Ti, Zr_Ti, Ni_Ti, Fe_Ti, Al_Ti, K_Ti, Rb_K,core name
121,682,6266,0,125,8735,79223,684144,36195,3567,164423,956,3155,878,18.90161625,0.173117834,0.024257494,0.026412488,4.542699268,0.018842382,2.188782981,0.039824293,HIBO19-B-1-1
121.5,624,6743,0,210,8714,76196,713428,34910,5965,161653,846,3031,1003,20.43620739,0.193153824,0.028731023,0.024233744,4.630564308,0.017874535,2.182641077,0.039778991,HIBO19-B-1-1
122,599,5756,0,157,8588,70173,702245,33216,3691,157098,813,2784,741,21.14176903,0.173289981,0.022308526,0.024476156,4.72958815,0.018033478,2.112626445,0.039673379,HIBO19-B-1-1
122.5,624,6582,0,192,8530,68913,695303,33468,4022,164121,933,2646,904,20.77515836,0.196665471,0.027010876,0.027877375,4.903818573,0.018644676,2.059071352,0.038396239,HIBO19-B-1-1
123,767,7502,0,221,8749,73359,718611,34285,2453,160170,927,2984,1252,20.95992417,0.218812892,0.036517427,0.027038063,4.671722328,0.022371299,2.139682077,0.040676672,HIBO19-B-1-1
123.5,797,7969,0,229,8476,71548,612622,38242,3772,194325,806,3163,897,16.01961194,0.208383453,0.023455886,0.021076304,5.081454945,0.02084096,1.870927253,0.044208084,HIBO19-B-1-1
124,666,7377,0,153,8379,69818,698233,34024,4236,157822,876,2946,732,20.52177874,0.216817541,0.021514225,0.025746532,4.638549259,0.019574418,2.052022102,0.042195422,HIBO19-B-1-1
124.5,718,5923,0,197,9001,61981,621854,30846,4298,148073,995,2473,915,20.15995591,0.192018414,0.02966349,0.032257019,4.800395513,0.023276924,2.009369124,0.039899324,HIBO19-B-1-1
125,566,4658,0,225,8724,57733,540697,29198,4224,141854,919,2840,1101,18.51828892,0.159531475,0.037708062,0.031474759,4.858346462,0.019384889,1.977292965,0.04919197,HIBO19-B-1-1
125.5,833,8355,0,130,8940,78098,773001,35323,2748,150908,977,2709,708,21.88378677,0.236531438,0.020043598,0.027659032,4.272230558,0.023582368,2.210967358,0.034687188,HIBO19-B-1-1
126,969,9006,0,123,8960,84446,631264,38463,4732,173590,1085,3194,1032,16.41224033,0.234147102,0.02683098,0.028208928,4.5131685,0.025193043,2.195512571,0.037822987,HIBO19-B-1-1
