Comp Depth [cm],Al, Si, P, S, Ar, K, Ca, Ti, Mn, Fe, Ni, Rb,  Zr, Ca_Ti, Si_Ti, Zr_Ti, Ni_Ti, Fe_Ti, Al_Ti, K_Ti, Rb_K,core name
1004.5,1482,14253,0,41,9801,113712,850181,48441,6767,186106,1106,3189,1249,17.55085568,0.294234223,0.025783943,0.022831899,3.841910778,0.030593918,2.34743296,0.028044534,HIBO19-B-5-2
1005,1325,13455,0,72,9879,104082,961168,45009,7632,170989,1260,2680,1248,21.35501789,0.298940212,0.027727788,0.027994401,3.798995756,0.029438557,2.312470839,0.025748929,HIBO19-B-5-2
1005.5,1028,12217,0,175,9959,86695,1035749,37658,6433,154163,1075,2432,1512,27.50408944,0.324419778,0.040150831,0.028546391,4.093764937,0.027298316,2.30216687,0.028052367,HIBO19-B-5-2
1006,1094,13999,0,118,9745,83573,736624,37767,7278,154539,1075,2298,1633,19.50443509,0.370667514,0.043238806,0.028464003,4.091905632,0.028967088,2.212857786,0.027496919,HIBO19-B-5-2
1006.5,1007,15354,0,84,10126,80955,764591,39882,7478,156601,1048,2449,1370,19.17133042,0.384985708,0.034351336,0.026277519,3.926608495,0.025249486,2.029863096,0.030251374,HIBO19-B-5-2
1007,993,16007,0,97,9778,76613,711800,37894,5660,132498,909,2335,1799,18.78397636,0.422415158,0.047474534,0.023987966,3.496542988,0.026204676,2.021771257,0.030477856,HIBO19-B-5-2
1007.5,1003,15850,0,252,9833,79403,740390,36260,6092,136803,1083,2248,1341,20.41891892,0.437120794,0.036982901,0.029867623,3.77283508,0.027661335,2.189823497,0.028311273,HIBO19-B-5-2
1008,1061,14189,0,225,9611,76287,754745,37748,5832,144939,941,2224,1281,19.99430433,0.375887464,0.033935573,0.024928473,3.839647134,0.028107449,2.020954753,0.029153067,HIBO19-B-5-2
1008.5,1020,13744,0,186,9609,79865,770457,53864,6669,148639,1119,2142,1423,14.30374647,0.255161147,0.026418387,0.020774543,2.759523986,0.018936581,1.482715729,0.026820259,HIBO19-B-5-2
1009,1052,13656,0,176,9499,87646,832059,44141,7163,159291,1074,2178,1568,18.85002605,0.309372239,0.03552253,0.024331121,3.608685802,0.023832718,1.985591627,0.024849965,HIBO19-B-5-2
1009.5,1028,13274,0,133,9673,86178,795834,39117,6250,144247,1085,2278,1447,20.3449651,0.339340952,0.036991589,0.027737301,3.687578291,0.026280134,2.203083059,0.026433661,HIBO19-B-5-2
1010,1114,13292,0,133,9819,84859,765803,40557,6493,158151,1083,2081,1450,18.88214118,0.327736272,0.035752151,0.026703159,3.899474813,0.027467515,2.092339177,0.024523032,HIBO19-B-5-2
1010.5,833,14842,0,84,9483,64065,723200,33215,6499,127347,868,1957,1376,21.7732952,0.446846304,0.041427066,0.026132771,3.834020774,0.025079031,1.92879723,0.030547101,HIBO19-B-5-2
1011,833,13666,0,943,9541,69699,719340,31361,6989,132788,894,1935,1181,22.93740633,0.435764166,0.037658238,0.028506744,4.234176206,0.026561653,2.222473773,0.027762235,HIBO19-B-5-2
1011.5,919,12231,0,191,9700,84049,768922,41486,7315,156458,916,2239,1541,18.53449356,0.29482235,0.037145061,0.022079738,3.77134455,0.022152051,2.025960565,0.026639222,HIBO19-B-5-2
1012,1216,14370,0,0,9267,105322,847914,46753,8267,188238,1056,2683,1564,18.13603405,0.307359956,0.033452399,0.022586786,4.026222916,0.026009026,2.252732445,0.02547426,HIBO19-B-5-2
1012.5,1428,14988,0,0,9377,110256,867706,49450,9460,202034,985,3103,1279,17.54713852,0.303094034,0.02586451,0.01991911,4.08562184,0.028877654,2.229646107,0.028143593,HIBO19-B-5-2
1013,1473,15227,0,0,9301,112787,865640,50600,7691,206429,1048,3173,1176,17.10750988,0.300928854,0.023241107,0.020711462,4.079624506,0.029110672,2.228992095,0.028132675,HIBO19-B-5-2
1013.5,1312,14608,0,0,9376,113140,821527,50814,7679,208831,1294,3305,1574,16.16733577,0.287479828,0.030975715,0.025465423,4.109713858,0.025819656,2.226551738,0.029211596,HIBO19-B-5-2
1014,1248,14822,0,51,9838,102302,846915,50473,6496,187966,1212,2876,1634,16.77956531,0.293661958,0.032373744,0.024012839,3.724090108,0.024726091,2.026865849,0.028112842,HIBO19-B-5-2
1014.5,1057,14374,0,181,9161,81086,787882,38402,7488,149119,1060,2346,1734,20.51669184,0.374303422,0.045153898,0.027602729,3.883105047,0.027524608,2.111504609,0.028932245,HIBO19-B-5-2
1015,949,13133,0,185,9572,74368,754762,40937,7447,147365,1073,2220,1564,18.43715954,0.320810025,0.038205047,0.026211007,3.599799692,0.023181963,1.816645089,0.029851549,HIBO19-B-5-2
1015.5,1301,14096,0,0,9156,101145,865650,45573,7848,186657,1089,2910,1433,18.99479955,0.309305949,0.031444057,0.023895728,4.095780396,0.028547605,2.219406227,0.028770577,HIBO19-B-5-2
1016,1516,15448,0,0,9551,114893,983165,49092,7749,209968,1179,3073,1349,20.02699014,0.314674489,0.027479019,0.024016133,4.277030881,0.030880795,2.340360955,0.026746625,HIBO19-B-5-2
1016.5,1316,14809,0,0,9680,107465,943721,48841,7822,200545,1204,2764,1252,19.32231117,0.30320837,0.025634201,0.02465142,4.106078909,0.026944575,2.200303024,0.025720002,HIBO19-B-5-2
1017,851,11771,0,280,9793,83922,703034,42077,7474,158085,862,2362,1987,16.70827293,0.279749032,0.047222948,0.020486251,3.757040664,0.020224826,1.994486299,0.028145182,HIBO19-B-5-2
1017.5,814,11437,0,209,9561,78729,700074,46985,7469,159041,981,2466,1840,14.89994679,0.243418112,0.039161435,0.020879004,3.384931361,0.017324678,1.675619879,0.031322638,HIBO19-B-5-2
1018,758,10566,0,293,9397,79551,775031,43793,5766,168637,1006,2274,1726,17.69760007,0.241271436,0.039412692,0.022971708,3.850775238,0.017308702,1.816523189,0.028585436,HIBO19-B-5-2
1018.5,745,8667,0,263,9118,66438,609426,41587,6859,147146,903,2312,1463,14.65424291,0.208406473,0.035179263,0.021713516,3.538269171,0.017914252,1.597566547,0.034799362,HIBO19-B-5-2
1019,990,10713,0,170,9329,77506,748514,42180,6501,147526,1182,2291,1353,17.74570887,0.25398293,0.032076814,0.02802276,3.497534376,0.023470839,1.837505927,0.029559002,HIBO19-B-5-2
1019.5,1153,12712,0,51,9595,101368,868104,46932,7186,173038,1014,3019,1348,18.49705958,0.270859968,0.028722407,0.021605727,3.686993949,0.024567459,2.159890906,0.029782574,HIBO19-B-5-2
1020,1110,11803,0,64,9364,103676,850770,46543,7247,180252,1276,3208,1475,18.27922566,0.253593451,0.031691124,0.027415508,3.872805792,0.023848914,2.22753153,0.030942552,HIBO19-B-5-2
1020.5,972,11669,0,61,9144,94629,855495,46374,6420,184360,1007,2885,1169,18.44772933,0.251628067,0.025208091,0.021714754,3.975503515,0.020960021,2.040561522,0.030487483,HIBO19-B-5-2
1021,969,14933,0,298,9503,78605,749631,41152,7268,139903,822,2254,1749,18.21614988,0.362874222,0.042500972,0.019974728,3.399664658,0.023546851,1.910113725,0.028675021,HIBO19-B-5-2
1021.5,851,13001,0,221,9224,66313,660587,34023,6916,134708,735,2069,1542,19.41589513,0.382123857,0.045322282,0.021603033,3.959321635,0.025012492,1.949063869,0.031200519,HIBO19-B-5-2
1022,691,10626,0,108,9302,64970,649362,33637,7439,147783,941,2634,1504,19.30499153,0.315902132,0.044712668,0.027975146,4.393465529,0.020542855,1.931503999,0.040541789,HIBO19-B-5-2
1022.5,655,10634,0,152,9965,62697,597547,35286,6336,129984,796,2512,1822,16.93439324,0.301365981,0.051635209,0.022558522,3.683727257,0.018562603,1.776823669,0.040065713,HIBO19-B-5-2
1023,710,20206,0,59,9080,44240,513982,36496,7001,79983,679,1905,1498,14.083242,0.553649715,0.041045594,0.018604779,2.191555239,0.019454187,1.212187637,0.043060579,HIBO19-B-5-2
1023.5,590,17583,0,129,8360,35253,386340,25134,6831,85677,669,1728,1528,15.37121031,0.699570303,0.060794143,0.026617331,3.408808785,0.023474178,1.402602053,0.049017105,HIBO19-B-5-2
1024,616,18449,0,0,8768,34070,561135,24332,7525,74053,668,1571,1684,23.06160612,0.758219628,0.069209272,0.027453559,3.043440736,0.025316456,1.40021371,0.046110948,HIBO19-B-5-2
1024.5,668,22867,0,0,9084,40739,514818,11820,6868,76197,680,1479,1114,43.55482234,1.934602369,0.094247039,0.057529611,6.446446701,0.056514382,3.446615905,0.036304278,HIBO19-B-5-2
1025,727,21578,0,66,9435,39539,591540,10639,4960,63551,711,1601,1214,55.60109033,2.028198139,0.114108469,0.066829589,5.973399756,0.06833349,3.716420716,0.040491666,HIBO19-B-5-2
1025.5,536,18628,0,30,9014,38970,516932,10190,7437,52574,765,1684,825,50.72934249,1.828066732,0.080961727,0.075073602,5.159371933,0.052600589,3.824337586,0.043212728,HIBO19-B-5-2
1026,597,21578,0,39,9005,35856,468734,11483,5880,66265,499,1830,817,40.8198206,1.879125664,0.071148655,0.043455543,5.77070452,0.051989898,3.122528956,0.051037483,HIBO19-B-5-2
1026.5,558,21817,0,0,8713,32371,512870,10366,5850,48628,462,1600,722,49.4761721,2.104669111,0.069650781,0.044568783,4.691105537,0.053829828,3.122805325,0.049426956,HIBO19-B-5-2
1027,610,21144,0,71,8474,33335,372778,17194,4895,58849,663,1487,781,21.68070257,1.229731302,0.045422822,0.038559963,3.422647435,0.035477492,1.938757706,0.04460777,HIBO19-B-5-2
1027.5,531,22855,0,39,8848,29122,485223,9939,4683,44934,841,1616,715,48.82010263,2.299527115,0.071938827,0.084616159,4.520977966,0.053425898,2.930073448,0.055490694,HIBO19-B-5-2
1028,603,24693,0,0,9040,34360,596844,9503,5787,48082,557,1684,694,62.80585078,2.598442597,0.07302957,0.05861307,5.059665369,0.063453646,3.615700305,0.049010477,HIBO19-B-5-2
1028.5,444,18312,0,41,8576,32169,465012,7350,4819,55833,549,1604,496,63.26693878,2.491428571,0.067482993,0.074693878,7.596326531,0.060408163,4.376734694,0.049861668,HIBO19-B-5-2
1029,620,22370,0,168,8994,33863,527405,9289,6864,57101,627,1677,912,56.77737108,2.408224782,0.098180644,0.067499193,6.147163311,0.066745613,3.645494671,0.049523078,HIBO19-B-5-2
1029.5,696,24616,0,200,9415,36450,591650,13602,5926,63758,804,1551,836,43.49727981,1.809733863,0.06146155,0.059108955,4.687398912,0.051168946,2.679752978,0.04255144,HIBO19-B-5-2
1030,1219,13863,0,355,8374,81146,713091,30826,7364,137877,1212,2607,1066,23.13277753,0.449717771,0.034581198,0.039317459,4.472750276,0.03954454,2.632388244,0.032127277,HIBO19-B-5-2
1030.5,1608,16182,0,41,9382,117763,889908,51933,7061,202808,1301,3623,1274,17.13569407,0.311593784,0.024531608,0.025051509,3.905185528,0.030962972,2.267594786,0.030765181,HIBO19-B-5-2
1031,1487,14843,0,30,9253,117819,878971,48000,7296,194993,1457,3628,1349,18.31189583,0.309229167,0.028104167,0.030354167,4.062354167,0.030979167,2.4545625,0.030792996,HIBO19-B-5-2
1031.5,1348,14518,0,4,9142,116485,852991,48293,8249,201470,1354,3480,1489,17.66282898,0.300623279,0.030832626,0.02803719,4.171826145,0.027912948,2.412047295,0.029875091,HIBO19-B-5-2
1032,1373,13893,0,12,9217,116807,839892,48973,7893,204356,1522,3304,1170,17.15010312,0.28368693,0.023890715,0.031078349,4.172829927,0.028035856,2.385130582,0.028285976,HIBO19-B-5-2
1032.5,1432,14737,0,0,9320,118002,840050,49069,7139,204041,1523,3507,1122,17.11977012,0.300332185,0.02286576,0.031037926,4.158246551,0.029183395,2.404817706,0.029719835,HIBO19-B-5-2
1033,1566,15343,0,25,9374,121833,831249,49708,7441,204007,1239,3655,1291,16.72264022,0.30866259,0.025971675,0.024925565,4.104107991,0.031503983,2.450973686,0.030000082,HIBO19-B-5-2
1033.5,1463,14838,0,0,9482,122806,814826,50412,7699,202794,1104,3471,1409,16.16333413,0.294334682,0.027949695,0.021899548,4.022732683,0.029020868,2.436046973,0.028264091,HIBO19-B-5-2
1034,1191,12050,0,0,9167,110525,755007,46667,5954,192972,851,3592,1692,16.17860587,0.258212441,0.036256884,0.018235584,4.135084749,0.025521246,2.36837594,0.032499435,HIBO19-B-5-2
1034.5,1427,14338,0,0,9037,116845,782455,48224,7426,193280,1059,3222,1345,16.22542717,0.297320836,0.027890677,0.02196002,4.00796284,0.029591075,2.42296367,0.027574993,HIBO19-B-5-2
1035,1671,15782,0,0,9364,122864,787240,50296,7605,200987,1135,3373,1139,15.65213934,0.313782408,0.022645936,0.022566407,3.996083188,0.033223318,2.442818514,0.027453119,HIBO19-B-5-2
1035.5,1588,15666,0,0,9411,125143,769265,50591,6515,204696,1118,3367,1465,15.20557016,0.309659821,0.02895772,0.022098792,4.046095155,0.031388982,2.47362179,0.02690522,HIBO19-B-5-2
1036,1456,14956,0,0,9257,121808,783901,52364,7013,203020,1081,3531,1236,14.97022764,0.285616072,0.023604003,0.020643954,3.877091131,0.027805362,2.32617829,0.028988244,HIBO19-B-5-2
1036.5,1526,14892,0,6,9434,124787,860135,60132,6852,204959,1048,3362,1449,14.30411428,0.247655159,0.024096987,0.017428324,3.408484667,0.025377503,2.075217854,0.026941909,HIBO19-B-5-2
1037,1293,12955,0,0,8737,105114,759212,48502,6716,182313,1151,3275,1608,15.65321018,0.267102388,0.033153272,0.02373098,3.758875923,0.026658694,2.1672096,0.031156649,HIBO19-B-5-2
1037.5,1257,13620,0,0,9270,114447,815117,48204,6915,201851,1192,3542,1474,16.90973778,0.282549166,0.030578375,0.024728238,4.187432578,0.026076674,2.374222056,0.030948823,HIBO19-B-5-2
1038,1432,13721,0,0,9393,119749,783747,48905,7433,204428,1151,3519,1108,16.02590737,0.280564359,0.02265617,0.023535426,4.180104284,0.02928126,2.448604437,0.029386467,HIBO19-B-5-2
1038.5,1233,12909,0,0,9242,119388,719378,48725,7659,198416,1136,3462,1349,14.7640431,0.264935865,0.027685993,0.02331452,4.072160082,0.025305285,2.450241149,0.028997889,HIBO19-B-5-2
1039,1764,14884,0,0,9433,155786,656209,61407,7670,233943,1111,3950,1454,10.6862247,0.24238279,0.023678082,0.0180924,3.809712248,0.028726367,2.536942042,0.025355295,HIBO19-B-5-2
1039.5,1593,13641,0,0,9987,147670,648604,64472,6496,234831,918,3893,1487,10.06024321,0.211580221,0.023064276,0.014238739,3.642371882,0.024708401,2.290451669,0.026362836,HIBO19-B-5-2
1040,1395,13416,0,0,10167,133510,697491,63500,6821,224182,964,3292,1748,10.98411024,0.211275591,0.027527559,0.015181102,3.530425197,0.021968504,2.102519685,0.024657329,HIBO19-B-5-2
1040.5,1358,13168,0,0,9977,128292,732281,62359,6969,227099,1071,3380,1874,11.74298818,0.211164387,0.030051797,0.017174746,3.641799901,0.021777129,2.057313299,0.026346148,HIBO19-B-5-2
1041,1322,13751,0,0,9339,129563,765870,57431,7353,224294,1276,3438,1394,13.33548084,0.239435148,0.024272605,0.022217966,3.90545176,0.023018927,2.255976737,0.026535353,HIBO19-B-5-2
1041.5,1542,13703,0,0,9686,142382,637282,63897,6138,234711,1199,3784,1426,9.973582484,0.214454513,0.022317167,0.018764574,3.673271046,0.024132588,2.228304928,0.026576393,HIBO19-B-5-2
1042,1432,12409,0,0,8813,122461,689540,56642,7303,214970,895,3049,1569,12.17365206,0.219077716,0.027700293,0.015800996,3.795240281,0.025281593,2.162017584,0.024897723,HIBO19-B-5-2
1042.5,1383,13402,0,0,8969,115050,811812,50380,7310,214552,1350,3266,1405,16.11377531,0.266018261,0.027888051,0.026796348,4.258674077,0.02745137,2.283644303,0.028387658,HIBO19-B-5-2
1043,1291,13279,0,0,9703,113917,780513,49001,8927,212864,1193,3597,1229,15.92851166,0.27099447,0.025081121,0.024346442,4.344074611,0.026346401,2.32478929,0.031575621,HIBO19-B-5-2
1043.5,1482,14677,0,0,9589,117008,793261,50518,8231,217274,994,3373,1238,15.70254167,0.290530108,0.024506117,0.019676155,4.300922443,0.029336078,2.316164535,0.028827089,HIBO19-B-5-2
1044,1508,15485,0,0,9701,119731,800829,52227,8153,220631,1353,3300,1318,15.33362054,0.296494151,0.025235989,0.025906141,4.224462443,0.028873954,2.292511536,0.027561784,HIBO19-B-5-2
1044.5,1519,15254,0,0,9720,119448,811769,50381,8336,212986,1094,3335,1230,16.11260197,0.302772871,0.024413966,0.021714535,4.227506401,0.030150255,2.370893789,0.027920099,HIBO19-B-5-2
1045,1600,15499,0,0,9826,117434,826272,49810,7492,212252,1145,3132,1285,16.58847621,0.311162417,0.025798033,0.022987352,4.261232684,0.032122064,2.357639028,0.0266703,HIBO19-B-5-2
1045.5,1688,16143,0,0,9590,123377,811263,52798,7443,212634,1066,3314,1633,15.36541157,0.305750218,0.030929202,0.020190159,4.027311641,0.031970908,2.33677412,0.02686076,HIBO19-B-5-2
1046,1366,14912,0,0,9939,113598,854848,50900,7094,195021,1089,3142,2146,16.79465619,0.292966601,0.0421611,0.021394892,3.831453831,0.026836935,2.231787819,0.027658938,HIBO19-B-5-2
1046.5,1603,15918,0,0,9809,123206,822484,52516,8099,209116,1144,3290,1467,15.66158885,0.303107624,0.027934344,0.021783837,3.981948359,0.030524031,2.346065961,0.026703245,HIBO19-B-5-2
1047,1460,15565,0,0,9783,118792,818030,51171,7724,203712,1203,3477,1285,15.98620312,0.304176194,0.02511188,0.02350941,3.981004866,0.028531786,2.321471146,0.029269648,HIBO19-B-5-2
1047.5,1493,15537,0,0,9667,119079,829076,51889,6995,208196,1253,3359,1167,15.97787585,0.299427624,0.022490316,0.0241477,4.012334021,0.028772958,2.294879454,0.028208164,HIBO19-B-5-2
1048,1647,15612,0,0,9797,123145,810169,51756,8260,209314,1065,3762,1279,15.6536247,0.301646186,0.024712111,0.020577324,4.044246078,0.031822397,2.379337661,0.030549352,HIBO19-B-5-2
1048.5,1514,15402,0,0,9696,121828,803070,51908,8313,210609,1215,3407,1363,15.47102566,0.296717269,0.026257995,0.023406797,4.057351468,0.029166988,2.346998536,0.027965656,HIBO19-B-5-2
1049,1654,16395,0,0,9867,124459,821166,52827,8350,214866,1301,3387,1386,15.5444375,0.310352661,0.026236584,0.024627558,4.067351922,0.031309747,2.355973271,0.027213781,HIBO19-B-5-2
1049.5,1774,16393,0,0,9816,124235,823250,52445,6666,211355,1288,3542,1660,15.69739727,0.312575079,0.031652207,0.024559062,4.030031462,0.033825913,2.368862618,0.028510484,HIBO19-B-5-2
1050,1660,16407,0,0,9707,120144,875079,52195,7691,208250,1050,3259,1463,16.76557141,0.314340454,0.028029505,0.020116869,3.989845771,0.031803813,2.301829677,0.027125782,HIBO19-B-5-2
1050.5,1625,15954,0,0,9869,119855,856615,51853,7223,207693,1219,3290,1439,16.52006634,0.307677473,0.027751528,0.023508765,4.005419166,0.031338592,2.311438104,0.027449835,HIBO19-B-5-2
1051,1669,16509,0,0,10082,126340,808385,52949,7572,214171,1397,3526,1161,15.26723829,0.311790591,0.02192676,0.026383879,4.044854483,0.031520897,2.386069614,0.027908817,HIBO19-B-5-2
1051.5,1893,16166,0,0,10004,146961,705405,63083,6981,225053,1095,3949,1577,11.18217269,0.256265555,0.024998811,0.017358084,3.56756971,0.030008085,2.329645071,0.026871075,HIBO19-B-5-2
1052,1479,15551,0,0,10184,123647,806899,53721,7668,211614,1087,3553,1315,15.02017833,0.289477113,0.024478323,0.020234173,3.939129949,0.027531133,2.301651123,0.028735028,HIBO19-B-5-2
1052.5,1796,16841,0,0,10326,124813,817851,52442,6731,214875,1225,3654,1387,15.59534343,0.321135731,0.026448267,0.02335914,4.097383776,0.034247359,2.380019831,0.029275797,HIBO19-B-5-2
1053,1836,16870,0,0,10326,127918,794961,53283,7801,220437,1158,3423,1356,14.91959912,0.316611302,0.025449018,0.021733011,4.137098136,0.034457519,2.400728187,0.02675933,HIBO19-B-5-2
1053.5,1104,11074,0,0,9629,133053,656208,57375,6293,232776,1038,3675,1427,11.43717647,0.193010893,0.02487146,0.018091503,4.057098039,0.01924183,2.319006536,0.027620572,HIBO19-A-5-1
1054,957,9580,0,0,9412,112496,717556,51155,6121,215953,1033,3912,1321,14.02709413,0.187273971,0.025823478,0.020193529,4.221542371,0.018707849,2.199120321,0.03477457,HIBO19-A-5-1
1054.5,960,9710,0,0,9436,106992,749586,49401,6964,208250,972,3470,1324,15.17349851,0.196554726,0.026801077,0.019675715,4.21550171,0.019432805,2.165786118,0.032432331,HIBO19-A-5-1
1055,953,10035,0,0,9438,108904,742848,50677,6052,219216,946,3555,1491,14.65848412,0.198018825,0.029421631,0.018667245,4.325749354,0.018805375,2.148982773,0.032643429,HIBO19-A-5-1
1055.5,1034,10109,0,0,9155,112738,717476,50790,5859,221372,1080,3652,1409,14.12632408,0.199035243,0.027741681,0.021264028,4.358574523,0.020358338,2.219688915,0.032393692,HIBO19-A-5-1
1056,1009,10602,0,0,9176,114151,734766,51696,6327,222414,1033,3532,1588,14.21320799,0.205083565,0.030718044,0.019982204,4.302344475,0.019517951,2.208120551,0.030941472,HIBO19-A-5-1
1056.5,942,10633,0,0,9240,112498,754006,52159,7495,220959,934,3748,1316,14.45591365,0.203857436,0.025230545,0.017906785,4.236258364,0.018060162,2.15682816,0.033316148,HIBO19-A-5-1
1057,920,10263,0,0,9097,111000,758004,51452,7080,220415,998,3390,1592,14.73225531,0.199467465,0.03094146,0.019396719,4.28389567,0.017880743,2.15735054,0.030540541,HIBO19-A-5-1
1057.5,970,10132,0,0,9245,109761,751130,51632,6447,223645,1191,3544,1332,14.54776108,0.196234893,0.025797955,0.02306709,4.331519213,0.018786799,2.125832817,0.032288336,HIBO19-A-5-1
1058,964,9995,0,0,9187,109630,713269,51118,6612,233862,1282,3316,1426,13.95338237,0.195527994,0.02789624,0.025079228,4.574944247,0.018858328,2.144645722,0.030247195,HIBO19-A-5-1
1058.5,932,9673,0,0,9330,103497,768330,48241,6222,223477,971,3389,1509,15.92690865,0.200514086,0.031280446,0.020128107,4.632511764,0.019319666,2.145415725,0.03274491,HIBO19-A-5-1
1059,1021,9581,0,0,9062,101957,748270,47404,7165,218986,1197,3369,1520,15.78495486,0.202113746,0.032064805,0.025251034,4.619567969,0.021538267,2.150810058,0.033043342,HIBO19-A-5-1
1059.5,899,10365,0,0,9370,93177,786802,43922,6058,204228,945,3126,1194,17.9136196,0.235986522,0.027184554,0.021515414,4.649788261,0.020468103,2.12141979,0.033549052,HIBO19-A-5-1
1060,581,15436,0,0,8707,45358,548858,23895,5072,92423,714,1883,1178,22.96957522,0.645992886,0.049299017,0.029880728,3.86788031,0.02431471,1.898221385,0.041514176,HIBO19-A-5-1
1060.5,1129,9939,0,0,8587,121323,715669,57865,6410,222987,899,3497,1553,12.36790806,0.17176186,0.026838331,0.015536162,3.853572972,0.019510931,2.09665601,0.028823883,HIBO19-A-5-1
1061,1130,9993,0,0,9557,124370,613637,60630,6394,222291,968,4053,1761,10.1210127,0.164819396,0.029045027,0.015965694,3.66635329,0.018637638,2.051294739,0.032588245,HIBO19-A-5-1
1061.5,880,8191,0,0,9040,109250,620162,55759,6369,214081,1058,3569,1657,11.12218655,0.146900052,0.029717176,0.018974515,3.839398124,0.015782206,1.959324952,0.032668192,HIBO19-A-5-1
1062,915,9022,0,0,9091,104172,716355,51279,5987,215968,921,3183,1489,13.9697537,0.175939468,0.029037228,0.017960569,4.211626592,0.017843562,2.031474873,0.030555236,HIBO19-A-5-1
1062.5,949,9130,0,0,9105,99327,738613,47918,7058,210032,1004,3420,1326,15.41410326,0.190533829,0.027672273,0.02095246,4.383154556,0.019804666,2.072853625,0.034431726,HIBO19-A-5-1
1063,871,9123,0,0,9438,101060,715185,47533,5689,210741,1159,3381,1119,15.04607325,0.191929817,0.02354154,0.02438306,4.433572465,0.018324112,2.126101866,0.033455373,HIBO19-A-5-1
1063.5,901,9139,0,0,9355,99921,742408,47873,7168,213495,936,3451,1633,15.50786456,0.190900925,0.034111086,0.019551731,4.45961189,0.01882063,2.08720991,0.034537284,HIBO19-A-5-1
1064,890,8739,0,0,9423,98023,726009,46928,6130,217389,996,3611,1359,15.4706998,0.186221446,0.028959257,0.021224003,4.632394306,0.018965223,2.088795602,0.036838293,HIBO19-A-5-1
1064.5,848,9450,0,0,9436,100235,729196,48080,8070,219314,1153,3744,1313,15.16630616,0.196547421,0.027308652,0.023980865,4.561439268,0.017637271,2.084754576,0.037352222,HIBO19-A-5-1
1065,860,9111,0,0,9240,90596,806951,47701,7377,189219,1058,2824,1807,16.91685709,0.191002285,0.037881805,0.022179829,3.966772185,0.018028972,1.899247395,0.031171354,HIBO19-A-5-1
1065.5,866,8932,0,0,9230,98970,717114,47869,6926,214385,892,3525,1579,14.98075999,0.186592576,0.032985857,0.018634189,4.47857695,0.01809104,2.0675176,0.035616854,HIBO19-A-5-1
1066,954,8874,0,0,9336,98542,718597,47738,6576,218810,1130,3590,1301,15.05293477,0.185889648,0.027252922,0.02367087,4.583560266,0.01998408,2.064225565,0.036431166,HIBO19-A-5-1
1066.5,890,9064,0,0,9153,98137,735392,48160,6792,216237,1030,3399,1368,15.26976744,0.18820598,0.028405316,0.021387043,4.48997093,0.018480066,2.037728405,0.034635255,HIBO19-A-5-1
1067,945,8870,0,0,9608,98928,725160,47995,6792,217065,1117,3360,1399,15.10907386,0.184810918,0.02914887,0.023273258,4.52265861,0.019689551,2.06121471,0.033964095,HIBO19-A-5-1
1067.5,856,9102,0,0,9298,98254,729085,48049,8543,213394,1245,3272,1502,15.17378093,0.189431622,0.031259756,0.025911049,4.441174634,0.017815147,2.044870861,0.033301443,HIBO19-A-5-1
1068,926,8814,0,0,9269,97939,717895,47334,6775,212898,935,3484,1284,15.16658216,0.186208645,0.027126379,0.019753243,4.497781721,0.019563105,2.06910466,0.035573163,HIBO19-A-5-1
1068.5,780,8442,0,0,9478,95254,702029,46256,7096,210112,1014,3587,1359,15.17703649,0.182506053,0.029379972,0.02192148,4.542372881,0.016862677,2.059278796,0.037657211,HIBO19-A-5-1
1069,848,9459,0,0,9314,95791,730263,47562,7287,210461,1065,3162,1261,15.35391699,0.198877255,0.026512762,0.022391825,4.424982129,0.01782936,2.014023801,0.033009364,HIBO19-A-5-1
1069.5,1007,9963,0,0,8805,94253,770277,46561,5782,203917,912,3344,1475,16.54339469,0.213977363,0.031678873,0.019587208,4.37956659,0.021627542,2.024290715,0.035478977,HIBO19-A-5-1
1070,934,9129,0,0,9528,94840,761602,47024,7129,205599,1083,3081,1411,16.19602756,0.19413491,0.030005954,0.023030793,4.372214188,0.019862198,2.016842463,0.032486293,HIBO19-A-5-1
1070.5,871,8854,0,0,9984,111590,663120,52194,7508,222452,930,3905,1289,12.70490861,0.169636357,0.024696325,0.01781814,4.262022455,0.016687742,2.137985209,0.034994175,HIBO19-A-5-1
1071,856,8595,0,0,9988,96557,721296,46758,6363,207442,1029,3362,1236,15.42615167,0.183818812,0.026433979,0.022006929,4.436502844,0.018307028,2.065036999,0.034818812,HIBO19-A-5-1
1071.5,971,8980,0,0,10006,97983,697012,47874,6242,213042,1128,3211,1383,14.5593015,0.18757572,0.028888332,0.02356185,4.450056398,0.020282408,2.046685048,0.032770991,HIBO19-A-5-1
1072,849,8371,0,0,9687,94124,719903,46352,5989,211025,1190,3050,1155,15.53121764,0.180596307,0.024918019,0.02567311,4.552662237,0.018316362,2.03063514,0.032404063,HIBO19-A-5-1
1072.5,809,8179,0,0,9773,91645,722115,45701,7099,206541,1128,3637,1471,15.80085775,0.178967637,0.032187479,0.024682173,4.519397825,0.01770202,2.00531717,0.039685744,HIBO19-A-5-1
1073,843,7675,0,0,9976,87602,727830,45754,5335,203441,1165,3006,1372,15.90746164,0.167744897,0.029986449,0.025462255,4.446409057,0.018424619,1.914630415,0.034314285,HIBO19-A-5-1
